ward_id,rainfall,date
029N,0.0,2022-01-01
060E,0.0,2022-01-01
085S,0.0,2022-01-01
029N,0.0,2022-01-02
060E,0.0,2022-01-02
085S,0.0,2022-01-02
029N,0.0,2022-01-03
060E,0.0,2022-01-03
085S,0.0,2022-01-03
029N,0.0,2022-01-04
060E,0.0,2022-01-04
085S,0.0,2022-01-04
029N,0.0,2022-01-05
060E,0.0,2022-01-05
085S,0.0,2022-01-05
029N,7.249632358551025,2022-01-06
060E,4.3613433837890625,2022-01-06
085S,2.7183940410614014,2022-01-06
029N,0.0,2022-01-07
060E,0.0,2022-01-07
085S,0.0,2022-01-07
029N,44.94576644897461,2022-01-08
060E,16.31871795654297,2022-01-08
085S,20.801118850708008,2022-01-08
029N,15.852677345275879,2022-01-09
060E,8.236989974975586,2022-01-09
085S,15.178507804870605,2022-01-09
029N,2.228626251220703,2022-01-10
060E,1.1369630098342896,2022-01-10
085S,0.0,2022-01-10
029N,0.0,2022-01-11
060E,0.0,2022-01-11
085S,0.0,2022-01-11
029N,0.0,2022-01-12
060E,0.0,2022-01-12
085S,0.0,2022-01-12
029N,0.0,2022-01-13
060E,0.0,2022-01-13
085S,0.0,2022-01-13
029N,0.0,2022-01-14
060E,0.0,2022-01-14
085S,0.0,2022-01-14
029N,0.0,2022-01-15
060E,0.0,2022-01-15
085S,0.0,2022-01-15
029N,0.0,2022-01-16
060E,0.0,2022-01-16
085S,0.0,2022-01-16
029N,0.0,2022-01-17
060E,0.0,2022-01-17
085S,0.0,2022-01-17
029N,0.0,2022-01-18
060E,0.0,2022-01-18
085S,0.0,2022-01-18
029N,0.0,2022-01-19
060E,0.0,2022-01-19
085S,0.0,2022-01-19
029N,0.0,2022-01-20
060E,0.0,2022-01-20
085S,0.0,2022-01-20
029N,0.0,2022-01-21
060E,0.0,2022-01-21
085S,0.0,2022-01-21
029N,2.9628539085388184,2022-01-22
060E,2.0577170848846436,2022-01-22
085S,3.4639389514923096,2022-01-22
029N,16.379661560058594,2022-01-23
060E,17.839828491210938,2022-01-23
085S,6.4880852699279785,2022-01-23
029N,0.0,2022-01-24
060E,0.0,2022-01-24
085S,0.0,2022-01-24
029N,0.0,2022-01-25
060E,0.0,2022-01-25
085S,0.0,2022-01-25
029N,0.0,2022-01-26
060E,0.0,2022-01-26
085S,0.0,2022-01-26
029N,0.0,2022-01-27
060E,0.0,2022-01-27
085S,0.0,2022-01-27
029N,0.0,2022-01-28
060E,0.0,2022-01-28
085S,0.0,2022-01-28
029N,0.0,2022-01-29
060E,0.0,2022-01-29
085S,0.0,2022-01-29
029N,0.0,2022-01-30
060E,0.0,2022-01-30
085S,0.0,2022-01-30
029N,0.0,2022-01-31
060E,0.0,2022-01-31
085S,0.0,2022-01-31
029N,0.0,2022-02-01
060E,0.0,2022-02-01
085S,0.0,2022-02-01
029N,0.0,2022-02-02
060E,0.0,2022-02-02
085S,0.0,2022-02-02
029N,2.065250873565674,2022-02-03
060E,1.9701353311538696,2022-02-03
085S,1.7318331003189087,2022-02-03
029N,1.0594843626022339,2022-02-04
060E,0.7061326503753662,2022-02-04
085S,1.9286322593688965,2022-02-04
029N,0.0,2022-02-05
060E,0.0,2022-02-05
085S,0.0,2022-02-05
029N,0.0,2022-02-06
060E,0.0,2022-02-06
085S,0.0,2022-02-06
029N,0.0,2022-02-07
060E,0.0,2022-02-07
085S,0.0,2022-02-07
029N,0.0,2022-02-08
060E,0.0,2022-02-08
085S,0.0,2022-02-08
029N,11.561695098876953,2022-02-09
060E,9.838669776916504,2022-02-09
085S,8.060873031616211,2022-02-09
029N,0.0,2022-02-10
060E,0.0,2022-02-10
085S,0.0,2022-02-10
029N,0.0,2022-02-11
060E,0.0,2022-02-11
085S,0.0,2022-02-11
029N,0.0,2022-02-12
060E,0.0,2022-02-12
085S,0.0,2022-02-12
029N,0.0,2022-02-13
060E,0.0,2022-02-13
085S,0.0,2022-02-13
029N,0.0,2022-02-14
060E,0.0,2022-02-14
085S,0.0,2022-02-14
029N,0.0,2022-02-15
